PROINFO,IdeapadSlim-5,192.168.91.35,5000~`~`~`~`~`
PROCESSID,PROCESSNAME,STATUS,STARTIME
0,System Idle Process,running,0
4,System,running,0
172,,stopped,1701274172
212,Registry,running,1701274172
828,smss.exe,running,1701274178
1104,msedgewebview2.exe,running,1701274494
1112,csrss.exe,running,1701274188
1120,GameBarFTServer.exe,running,1701276027
1260,wininit.exe,running,1701274189
1308,csrss.exe,running,1701274189
1336,services.exe,running,1701274189
1356,LsaIso.exe,running,1701274189
1372,lsass.exe,running,1701274189
1440,winlogon.exe,running,1701274189
1512,WUDFHost.exe,running,1701274190
1564,svchost.exe,running,1701274189
1592,fontdrvhost.exe,running,1701274189
1600,fontdrvhost.exe,running,1701274189
1700,svchost.exe,running,1701274189
1732,WUDFHost.exe,running,1701274189
1788,PhoneExperienceHost.exe,running,1701274195
1792,svchost.exe,running,1701274189
1896,dwm.exe,running,1701274189
1908,WUDFHost.exe,running,1701274189
2008,svchost.exe,running,1701274190
2016,svchost.exe,running,1701274190
2032,svchost.exe,running,1701274190
2100,svchost.exe,running,1701274190
2108,svchost.exe,running,1701274190
2120,svchost.exe,running,1701274190
2184,svchost.exe,running,1701274190
2292,svchost.exe,running,1701274190
2304,svchost.exe,running,1701274190
2344,RuntimeBroker.exe,running,1701274234
2356,msedge.exe,running,1701278331
2360,svchost.exe,running,1701274190
2384,svchost.exe,running,1701274190
2396,AMDRSSrcExt.exe,running,1701274515
2400,LenovoVantage-(DeviceSettingsSystemAddin).exe,running,1701274517
2416,ctfmon.exe,running,1701274194
2444,svchost.exe,running,1701274190
2448,svchost.exe,running,1701274190
2512,svchost.exe,running,1701274190
2540,svchost.exe,running,1701274190
2556,msedgewebview2.exe,running,1701274495
2752,WhatsApp.exe,running,1701277631
2760,svchost.exe,running,1701274190
2896,svchost.exe,running,1701274190
2968,svchost.exe,running,1701274190
3008,RuntimeBroker.exe,running,1701276027
3012,SecurityHealthSystray.exe,running,1701274196
3036,RuntimeBroker.exe,running,1701274197
3300,svchost.exe,running,1701274190
3352,RuntimeBroker.exe,running,1701274503
3364,svchost.exe,running,1701274190
3416,svchost.exe,running,1701274191
3428,audiodg.exe,running,1701274191
3472,NisSrv.exe,running,1701274200
3496,atiesrxx.exe,running,1701274190
3504,svchost.exe,running,1701274190
3512,amdfendrsr.exe,running,1701274190
3648,svchost.exe,running,1701274190
3656,svchost.exe,running,1701274190
3664,svchost.exe,running,1701274190
3672,atieclxx.exe,running,1701274190
3684,msedge.exe,running,1701278330
3732,msedgewebview2.exe,running,1701274495
3756,MemCompression,running,1701274190
3796,svchost.exe,running,1701274190
3828,svchost.exe,running,1701274190
3836,svchost.exe,running,1701274190
3940,svchost.exe,running,1701274191
3952,msedge.exe,running,1701278330
3984,svchost.exe,running,1701274191
3996,svchost.exe,running,1701274191
4152,svchost.exe,running,1701274191
4196,svchost.exe,running,1701274191
4252,svchost.exe,running,1701274191
4264,sihost.exe,running,1701274191
4352,svchost.exe,running,1701274191
4364,svchost.exe,running,1701274299
4392,svchost.exe,running,1701274191
4420,svchost.exe,running,1701274191
4452,svchost.exe,running,1701274191
4488,svchost.exe,running,1701274496
4544,svchost.exe,running,1701274191
4568,AUEPMaster.exe,running,1701274191
4584,msedgewebview2.exe,running,1701274495
4660,taskhostw.exe,running,1701274191
4708,WmiPrvSE.exe,running,1701274193
4848,LenovoVantageService.exe,running,1701274191
4852,svchost.exe,running,1701274192
5008,Lenovo.Modern.ImController.exe,running,1701274191
5036,SecurityHealthService.exe,running,1701274196
5044,svchost.exe,running,1701274191
5124,Discord.exe,running,1701274331
5300,svchost.exe,running,1701274191
5436,unsecapp.exe,running,1701274196
5456,svchost.exe,running,1701274192
5480,explorer.exe,running,1701274191
5600,BraveCrashHandler.exe,running,1701274191
5644,BraveCrashHandler64.exe,running,1701274191
5652,svchost.exe,running,1701274191
5780,dllhost.exe,running,1701276974
5880,GoogleCrashHandler.exe,running,1701274191
5924,svchost.exe,running,1701274192
5932,GoogleCrashHandler64.exe,running,1701274191
6028,spoolsv.exe,running,1701274191
6056,svchost.exe,running,1701274191
6068,svchost.exe,running,1701274299
6112,svchost.exe,running,1701274299
6152,LenovoUtilityService.exe,running,1701274192
6160,svchost.exe,running,1701274192
6168,svchost.exe,running,1701274192
6176,svchost.exe,running,1701274192
6188,FMService64.exe,running,1701274192
6196,DAX3API.exe,running,1701274192
6208,LNBITSSvc.exe,running,1701274192
6264,RtkBtManServ.exe,running,1701274192
6284,OfficeClickToRun.exe,running,1701274192
6308,RtkAudUService64.exe,running,1701274192
6332,SessionService.exe,running,1701274192
6344,svchost.exe,running,1701274192
6392,snmp.exe,running,1701274192
6416,pycharm64.exe,running,1701275395
6432,svchost.exe,running,1701274192
6440,svchost.exe,running,1701274192
6448,UDClientService.exe,running,1701274192
6468,svchost.exe,running,1701274192
6484,svchost.exe,running,1701274192
6492,urbanvpnserv.exe,running,1701274192
6504,MsMpEng.exe,running,1701274192
6624,RuntimeBroker.exe,running,1701277631
6756,svchost.exe,running,1701274217
6760,vgtray.exe,running,1701274198
7116,LenovoVantage-(LenovoServiceBridgeAddin).exe,running,1701274512
7120,msedge.exe,running,1701278330
7188,FMAPP.exe,running,1701277002
7284,cmd.exe,running,1701278758
7384,svchost.exe,running,1701274192
7416,DAX3API.exe,running,1701274192
7860,AggregatorHost.exe,running,1701274192
7996,svchost.exe,running,1701274192
8016,taskhostw.exe,running,1701278395
8204,conhost.exe,running,1701278795
8476,SearchHost.exe,stopped,1701274192
8500,StartMenuExperienceHost.exe,running,1701274192
8696,Widgets.exe,running,1701274192
8752,RuntimeBroker.exe,running,1701274192
8876,RuntimeBroker.exe,running,1701274193
9068,svchost.exe,running,1701274193
9144,svchost.exe,running,1701274217
9184,unsecapp.exe,running,1701274193
9200,Lively.Watchdog.exe,running,1701274206
9264,AutoModeDetect.exe,running,1701274193
9288,conhost.exe,running,1701274193
9396,Locator.exe,running,1701274505
9748,svchost.exe,running,1701274406
9768,svchost.exe,running,1701274299
9828,svchost.exe,running,1701274203
9872,conhost.exe,running,1701274214
9924,FnHotkeyCapsLKNumLK.exe,running,1701274200
10012,backgroundTaskHost.exe,running,1701274503
10124,dllhost.exe,running,1701274194
10224,svchost.exe,running,1701274302
10272,LenovoVantage-(SmartDisplayAddin).exe,running,1701274505
10396,svchost.exe,running,1701278334
10484,svchost.exe,running,1701274578
10536,Discord.exe,running,1701274321
10564,conhost.exe,running,1701275398
10744,mpv.exe,running,1701274206
11020,msedge.exe,running,1701278361
11292,SystemSettingsBroker.exe,running,1701274288
11412,urbanvpn-gui.exe,running,1701274201
11476,dllhost.exe,running,1701274196
11516,svchost.exe,running,1701274196
11640,RtkAudUService64.exe,running,1701274197
11652,Discord.exe,running,1701274320
11756,msedge.exe,running,1701278367
11780,svchost.exe,running,1701274347
11884,SearchIndexer.exe,running,1701274197
12096,WidgetService.exe,running,1701274197
12160,WmiApSrv.exe,running,1701274507
12228,FnHotkeyUtility.exe,running,1701274200
12296,svchost.exe,running,1701274578
12368,GameBar.exe,stopped,1701276026
12516,LocationNotificationWindows.exe,running,1701274496
12536,svchost.exe,running,1701276027
12620,RuntimeBroker.exe,running,1701274204
12660,LenovoVantage-(VantageCoreAddin).exe,running,1701274202
12788,Lively.exe,running,1701274202
12896,svchost.exe,running,1701274202
12968,msedgewebview2.exe,running,1701274495
12972,TextInputHost.exe,running,1701274202
13004,svchost.exe,running,1701274202
13140,WmiPrvSE.exe,running,1701278756
13160,msedge.exe,running,1701278330
13264,msedgewebview2.exe,running,1701274505
13416,RadeonSoftware.exe,running,1701274211
13500,ApplicationFrameHost.exe,running,1701274215
13536,msedge.exe,running,1701278332
13592,CPUMetricsServer.exe,running,1701274211
13816,cmd.exe,running,1701274214
14040,AMDRSServ.exe,running,1701274214
14052,svchost.exe,running,1701274215
14204,fsnotifier.exe,running,1701275398
14296,dasHost.exe,running,1701274299
14312,msedgewebview2.exe,running,1701274495
14316,cncmd.exe,running,1701274214
14372,Discord.exe,running,1701274321
14504,svchost.exe,running,1701274216
14544,svchost.exe,running,1701274216
14584,svchost.exe,running,1701274216
14652,svchost.exe,running,1701274216
14740,ShellExperienceHost.exe,stopped,1701274234
14784,svchost.exe,running,1701277399
14960,python.exe,running,1701278812
15072,python.exe,running,1701278795
15332,msedge.exe,running,1701278361
15684,msedge.exe,running,1701278361
16680,RuntimeBroker.exe,running,1701278391
16828,msedge.exe,running,1701278391
16844,svchost.exe,running,1701274578
16848,servicehost.exe,running,1701274851
17588,LenovoVantage-(GenericMessagingAddin).exe,running,1701274501
17688,svchost.exe,running,1701274313
17812,Discord.exe,running,1701274323
17872,AUEPDU.exe,running,1701274312
17976,Discord.exe,running,1701274321
18016,svchost.exe,running,1701274312
18104,conhost.exe,running,1701278812
18316,msedge.exe,running,1701278331
18332,svchost.exe,running,1701274313
18464,smartscreen.exe,running,1701278757
18848,msedge.exe,running,1701278331
19100,uihost.exe,running,1701274852
19212,SDXHelper.exe,running,1701275104
19348,conhost.exe,running,1701278758
